SG_PARTIDO;DS_COMPOSICAO_COLIGACAO;ST_REELEICAO;NR_IDADE_DATA_POSSE;DS_GENERO;DS_COR_RACA;DS_GRAU_INSTRUCAO;DS_OCUPACAO;DS_ESTADO_CIVIL;BENS
DEM;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;S;39;MASCULINO;BRANCA;SUPERIOR COMPLETO;DEPUTADO;CASADO(A);873721.28
AVANTE;AVANTE / PROS / PPS / PMN / REDE;N;26;FEMININO;BRANCA;SUPERIOR COMPLETO;OUTROS;CASADO(A);NA
PV;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;48;FEMININO;BRANCA;SUPERIOR INCOMPLETO;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;SOLTEIRO(A);NA
PR;MDB / PR / PATRI;N;56;FEMININO;PARDA;SUPERIOR INCOMPLETO;SERVIDOR PÚBLICO FEDERAL;CASADO(A);NA
REDE;AVANTE / PROS / PPS / PMN / REDE;N;42;MASCULINO;BRANCA;SUPERIOR COMPLETO;GEÓGRAFO;DIVORCIADO(A);NA
PODE;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;40;MASCULINO;BRANCA;SUPERIOR COMPLETO;ADVOGADO;SOLTEIRO(A);5,50E+04
PR;MDB / PR / PATRI;N;49;MASCULINO;PARDA;ENSINO MÉDIO COMPLETO;OUTROS;CASADO(A);6,00E+04
PSL;PSL / DC / PRTB;N;52;FEMININO;PARDA;ENSINO MÉDIO COMPLETO;POLICIAL MILITAR;SOLTEIRO(A);NA
PTB;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;54;FEMININO;BRANCA;SUPERIOR COMPLETO;EMPRESÁRIO;CASADO(A);6411.6
PHS;PP / PTC / PHS / PPL;N;49;FEMININO;PRETA;ENSINO FUNDAMENTAL INCOMPLETO;DONA DE CASA;SOLTEIRO(A);NA
PSOL;PSOL;N;45;MASCULINO;PRETA;ENSINO FUNDAMENTAL COMPLETO;OUTROS;SOLTEIRO(A);NA
PC do B;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;38;FEMININO;BRANCA;SUPERIOR COMPLETO;ADVOGADO;DIVORCIADO(A);111238.95
NOVO;NOVO;N;37;FEMININO;BRANCA;SUPERIOR COMPLETO;ADMINISTRADOR;CASADO(A);734277.95
PSL;PSL / DC / PRTB;N;49;FEMININO;BRANCA;SUPERIOR COMPLETO;POLICIAL MILITAR;DIVORCIADO(A);16500
PV;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;69;MASCULINO;PARDA;SUPERIOR COMPLETO;SERVIDOR PÚBLICO CIVIL APOSENTADO;CASADO(A);905698.26
MDB;MDB / PR / PATRI;N;42;MASCULINO;BRANCA;SUPERIOR COMPLETO;ADMINISTRADOR;DIVORCIADO(A);NA
AVANTE;AVANTE / PROS / PPS / PMN / REDE;N;35;FEMININO;BRANCA;SUPERIOR COMPLETO;OUTROS;CASADO(A);NA
PSD;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;41;MASCULINO;BRANCA;SUPERIOR COMPLETO;ADVOGADO;CASADO(A);579858.75
PTC;PP / PTC / PHS / PPL;N;46;FEMININO;BRANCA;SUPERIOR INCOMPLETO;ASSISTENTE SOCIAL;DIVORCIADO(A);1,73E+05
PHS;PP / PTC / PHS / PPL;N;39;MASCULINO;PARDA;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;CASADO(A);NA
PATRI;MDB / PR / PATRI;N;54;MASCULINO;PARDA;ENSINO MÉDIO COMPLETO;POLICIAL MILITAR;CASADO(A);1,20E+05
PPS;AVANTE / PROS / PPS / PMN / REDE;N;22;MASCULINO;BRANCA;SUPERIOR INCOMPLETO;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;SOLTEIRO(A);NA
PSD;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;64;MASCULINO;BRANCA;SUPERIOR COMPLETO;EMPRESÁRIO;DIVORCIADO(A);6,61E+05
AVANTE;AVANTE / PROS / PPS / PMN / REDE;N;33;MASCULINO;BRANCA;SUPERIOR COMPLETO;OUTROS;SOLTEIRO(A);1,85E+05
PSL;PSL / DC / PRTB;N;38;MASCULINO;BRANCA;SUPERIOR COMPLETO;POLICIAL MILITAR;DIVORCIADO(A);554800
PMN;AVANTE / PROS / PPS / PMN / REDE;N;53;FEMININO;PRETA;SUPERIOR COMPLETO;JORNALISTA E REDATOR;CASADO(A);7372.53
PRTB;PSL / DC / PRTB;N;34;MASCULINO;PARDA;SUPERIOR COMPLETO;SERVIDOR PÚBLICO MUNICIPAL;CASADO(A);5,20E+04
PRP;PRP;N;44;MASCULINO;BRANCA;ENSINO MÉDIO COMPLETO;COMERCIANTE;CASADO(A);144901
PSDB;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;58;MASCULINO;BRANCA;SUPERIOR COMPLETO;BOMBEIRO MILITAR;CASADO(A);NA
PSOL;PSOL;N;60;MASCULINO;BRANCA;SUPERIOR INCOMPLETO;BANCÁRIO E ECONOMIÁRIO;DIVORCIADO(A);365852.93
PPS;AVANTE / PROS / PPS / PMN / REDE;N;62;MASCULINO;BRANCA;SUPERIOR COMPLETO;ADVOGADO;CASADO(A);8,00E+05
PSD;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;67;MASCULINO;BRANCA;SUPERIOR COMPLETO;ADVOGADO;CASADO(A);1325174.04
AVANTE;AVANTE / PROS / PPS / PMN / REDE;N;46;MASCULINO;PARDA;SUPERIOR COMPLETO;ADVOGADO;CASADO(A);6806.36
PATRI;MDB / PR / PATRI;N;48;MASCULINO;BRANCA;ENSINO MÉDIO COMPLETO;AGRICULTOR;CASADO(A);NA
PSOL;PSOL;N;60;FEMININO;PARDA;ENSINO FUNDAMENTAL COMPLETO;VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS;SOLTEIRO(A);4,00E+03
MDB;MDB / PR / PATRI;N;52;FEMININO;BRANCA;SUPERIOR COMPLETO;MÉDICO;DIVORCIADO(A);2048302.93
PC do B;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;49;MASCULINO;PARDA;ENSINO FUNDAMENTAL INCOMPLETO;AGRICULTOR;CASADO(A);NA
PR;MDB / PR / PATRI;S;59;MASCULINO;PARDA;SUPERIOR INCOMPLETO;EMPRESÁRIO;CASADO(A);3685931.78
PSL;PSL / DC / PRTB;N;40;MASCULINO;BRANCA;SUPERIOR COMPLETO;ADVOGADO;CASADO(A);235200
PRTB;PSL / DC / PRTB;N;36;FEMININO;PARDA;ENSINO MÉDIO COMPLETO;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;SOLTEIRO(A);NA
AVANTE;AVANTE / PROS / PPS / PMN / REDE;N;56;MASCULINO;BRANCA;ENSINO FUNDAMENTAL INCOMPLETO;PRODUTOR AGROPECUÁRIO;DIVORCIADO(A);NA
PRB;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;S;29;MASCULINO;BRANCA;SUPERIOR COMPLETO;MÉDICO;CASADO(A);884830.78
DEM;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;30;FEMININO;BRANCA;SUPERIOR COMPLETO;AGENTE ADMINISTRATIVO;CASADO(A);2,40E+05
PSDB;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;60;FEMININO;BRANCA;SUPERIOR COMPLETO;SERVIDOR PÚBLICO ESTADUAL;CASADO(A);968184.31
AVANTE;AVANTE / PROS / PPS / PMN / REDE;N;54;MASCULINO;BRANCA;SUPERIOR COMPLETO;MÉDICO;CASADO(A);858095.68
PSB;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;39;FEMININO;PRETA;SUPERIOR COMPLETO;PROFESSOR DE ENSINO FUNDAMENTAL;SOLTEIRO(A);NA
PSDB;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;21;MASCULINO;BRANCA;SUPERIOR INCOMPLETO;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;SOLTEIRO(A);NA
PSL;PSL / DC / PRTB;N;36;MASCULINO;BRANCA;ENSINO MÉDIO COMPLETO;POLICIAL MILITAR;SOLTEIRO(A);NA
PRTB;PSL / DC / PRTB;N;34;FEMININO;PARDA;SUPERIOR COMPLETO;TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO);DIVORCIADO(A);7,00E+03
PTC;PP / PTC / PHS / PPL;N;64;FEMININO;BRANCA;SUPERIOR COMPLETO;ADVOGADO;CASADO(A);NA
PRTB;PSL / DC / PRTB;N;45;MASCULINO;PARDA;ENSINO MÉDIO COMPLETO;COMERCIANTE;SOLTEIRO(A);3,00E+03
PRTB;PSL / DC / PRTB;N;65;MASCULINO;PARDA;ENSINO MÉDIO COMPLETO;APOSENTADO (EXCETO SERVIDOR PÚBLICO);CASADO(A);677806.68
PROS;AVANTE / PROS / PPS / PMN / REDE;N;32;MASCULINO;PARDA;SUPERIOR INCOMPLETO;DIRETOR DE EMPRESAS;SOLTEIRO(A);NA
AVANTE;AVANTE / PROS / PPS / PMN / REDE;N;61;MASCULINO;BRANCA;SUPERIOR COMPLETO;OUTROS;CASADO(A);366370.54
PSL;PSL / DC / PRTB;N;51;MASCULINO;PARDA;ENSINO MÉDIO COMPLETO;OUTROS;SOLTEIRO(A);NA
MDB;MDB / PR / PATRI;N;40;MASCULINO;BRANCA;ENSINO MÉDIO COMPLETO;EMPRESÁRIO;SOLTEIRO(A);NA
PODE;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;41;MASCULINO;BRANCA;SUPERIOR COMPLETO;OUTROS;CASADO(A);1,30E+05
PTC;PP / PTC / PHS / PPL;N;60;FEMININO;BRANCA;SUPERIOR COMPLETO;DONA DE CASA;CASADO(A);NA
PP;PP / PTC / PHS / PPL;N;55;MASCULINO;BRANCA;SUPERIOR COMPLETO;ADVOGADO;CASADO(A);NA
MDB;MDB / PR / PATRI;S;47;MASCULINO;PARDA;SUPERIOR COMPLETO;DEPUTADO;CASADO(A);1624647.41
AVANTE;AVANTE / PROS / PPS / PMN / REDE;N;48;MASCULINO;BRANCA;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;CASADO(A);2,70E+04
PT;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;53;MASCULINO;PRETA;SUPERIOR COMPLETO;OUTROS;CASADO(A);NA
PSD;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;59;MASCULINO;BRANCA;SUPERIOR COMPLETO;ADMINISTRADOR;CASADO(A);9,90E+05
PATRI;MDB / PR / PATRI;N;54;MASCULINO;BRANCA;ENSINO MÉDIO INCOMPLETO;OUTROS;CASADO(A);NA
PT;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;53;FEMININO;BRANCA;SUPERIOR COMPLETO;SERVIDOR PÚBLICO MUNICIPAL;DIVORCIADO(A);2,10E+05
PSB;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;47;FEMININO;PRETA;SUPERIOR COMPLETO;VEREADOR;DIVORCIADO(A);NA
PTB;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;56;MASCULINO;BRANCA;ENSINO MÉDIO COMPLETO;JORNALISTA E REDATOR;SOLTEIRO(A);2,50E+05
PTC;PP / PTC / PHS / PPL;N;47;MASCULINO;BRANCA;SUPERIOR COMPLETO;EMPRESÁRIO;SOLTEIRO(A);NA
PT;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;74;MASCULINO;BRANCA;SUPERIOR COMPLETO;DEPUTADO;SOLTEIRO(A);918161.83
MDB;MDB / PR / PATRI;N;73;FEMININO;BRANCA;SUPERIOR COMPLETO;SERVIDOR PÚBLICO CIVIL APOSENTADO;CASADO(A);9,54E+05
PSB;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;67;MASCULINO;BRANCA;SUPERIOR COMPLETO;PROFESSOR DE ENSINO MÉDIO;CASADO(A);289393.1
PP;PP / PTC / PHS / PPL;N;63;MASCULINO;BRANCA;SUPERIOR COMPLETO;PROFESSOR DE ENSINO SUPERIOR;CASADO(A);2552334.05
PSOL;PSOL;N;51;FEMININO;BRANCA;ENSINO MÉDIO COMPLETO;COMERCIANTE;SOLTEIRO(A);1,05E+05
AVANTE;AVANTE / PROS / PPS / PMN / REDE;N;63;FEMININO;BRANCA;ENSINO MÉDIO COMPLETO;OUTROS;DIVORCIADO(A);NA
PSDB;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;48;MASCULINO;BRANCA;SUPERIOR COMPLETO;OUTROS;CASADO(A);5.862.848.200.000.000
PSL;PSL / DC / PRTB;N;44;MASCULINO;PARDA;SUPERIOR COMPLETO;EMPRESÁRIO;CASADO(A);150793.89
PATRI;MDB / PR / PATRI;N;32;MASCULINO;PRETA;ENSINO MÉDIO INCOMPLETO;OUTROS;SOLTEIRO(A);NA
MDB;MDB / PR / PATRI;N;39;MASCULINO;BRANCA;SUPERIOR COMPLETO;COMERCIANTE;CASADO(A);32.76
PHS;PP / PTC / PHS / PPL;N;51;MASCULINO;PRETA;ENSINO MÉDIO INCOMPLETO;POLICIAL MILITAR;CASADO(A);NA
PC do B;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;76;FEMININO;AMARELA;SUPERIOR COMPLETO;ADVOGADO;CASADO(A);425922.73
PTC;PP / PTC / PHS / PPL;N;45;MASCULINO;PARDA;SUPERIOR COMPLETO;EMPRESÁRIO;DIVORCIADO(A);8,50E+05
AVANTE;AVANTE / PROS / PPS / PMN / REDE;N;46;MASCULINO;BRANCA;ENSINO MÉDIO INCOMPLETO;LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA;SOLTEIRO(A);3,50E+05
DC;PSL / DC / PRTB;N;55;MASCULINO;PARDA;ENSINO MÉDIO COMPLETO;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;CASADO(A);NA
PPS;AVANTE / PROS / PPS / PMN / REDE;N;22;FEMININO;BRANCA;SUPERIOR INCOMPLETO;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;SOLTEIRO(A);NA
PTC;PP / PTC / PHS / PPL;N;32;MASCULINO;PARDA;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;SOLTEIRO(A);NA
PHS;PP / PTC / PHS / PPL;N;48;MASCULINO;PARDA;SUPERIOR COMPLETO;POLICIAL MILITAR;DIVORCIADO(A);NA
PODE;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;46;FEMININO;BRANCA;SUPERIOR COMPLETO;ADVOGADO;CASADO(A);1044901.59
PSL;PSL / DC / PRTB;N;48;MASCULINO;BRANCA;SUPERIOR COMPLETO;FISCAL;CASADO(A);2469613.12
SOLIDARIEDADE;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;28;MASCULINO;BRANCA;SUPERIOR INCOMPLETO;DEPUTADO;SOLTEIRO(A);674394.75
PSB;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;63;MASCULINO;BRANCA;SUPERIOR INCOMPLETO;SERVIDOR PÚBLICO FEDERAL;DIVORCIADO(A);344334.51
PRTB;PSL / DC / PRTB;N;41;FEMININO;PARDA;ENSINO MÉDIO COMPLETO;EMPREGADO DOMÉSTICO;SOLTEIRO(A);NA
PV;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;42;FEMININO;PARDA;SUPERIOR COMPLETO;PEDAGOGO;CASADO(A);NA
AVANTE;AVANTE / PROS / PPS / PMN / REDE;N;45;FEMININO;BRANCA;ENSINO MÉDIO COMPLETO;OUTROS;CASADO(A);NA
PHS;PP / PTC / PHS / PPL;N;76;MASCULINO;BRANCA;SUPERIOR COMPLETO;OUTROS;CASADO(A);NA
PSL;PSL / DC / PRTB;N;27;MASCULINO;BRANCA;SUPERIOR INCOMPLETO;EMPRESÁRIO;SOLTEIRO(A);57820
PP;PP / PTC / PHS / PPL;N;46;FEMININO;BRANCA;SUPERIOR COMPLETO;CONTADOR;CASADO(A);NA
PSL;PSL / DC / PRTB;N;35;FEMININO;BRANCA;SUPERIOR COMPLETO;JORNALISTA E REDATOR;DIVORCIADO(A);2,98E+05
NOVO;NOVO;N;33;MASCULINO;BRANCA;SUPERIOR COMPLETO;EMPRESÁRIO;SOLTEIRO(A);NA
PRB;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;63;MASCULINO;BRANCA;ENSINO FUNDAMENTAL COMPLETO;ANTROPÓLOGO;DIVORCIADO(A);2,00E+05
REDE;AVANTE / PROS / PPS / PMN / REDE;N;25;FEMININO;BRANCA;SUPERIOR INCOMPLETO;OUTROS;SOLTEIRO(A);NA
PSL;PSL / DC / PRTB;N;45;MASCULINO;BRANCA;ENSINO MÉDIO COMPLETO;COMERCIANTE;DIVORCIADO(A);NA
PP;PP / PTC / PHS / PPL;S;49;MASCULINO;BRANCA;SUPERIOR COMPLETO;ADMINISTRADOR;CASADO(A);1458797.07
REDE;AVANTE / PROS / PPS / PMN / REDE;N;56;MASCULINO;BRANCA;SUPERIOR COMPLETO;PROFESSOR DE ENSINO SUPERIOR;CASADO(A);258760.75
PSC;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;38;FEMININO;BRANCA;ENSINO MÉDIO INCOMPLETO;EMPRESÁRIO;CASADO(A);3,10E+04
REDE;AVANTE / PROS / PPS / PMN / REDE;N;61;MASCULINO;PARDA;ENSINO FUNDAMENTAL COMPLETO;OUTROS;CASADO(A);NA
PSDB;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;28;MASCULINO;BRANCA;SUPERIOR INCOMPLETO;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;SOLTEIRO(A);NA
PRB;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;55;MASCULINO;PARDA;SUPERIOR COMPLETO;VEREADOR;CASADO(A);57764.39
PRP;PRP;N;63;MASCULINO;PRETA;ENSINO MÉDIO INCOMPLETO;OUTROS;CASADO(A);2,00E+05
AVANTE;AVANTE / PROS / PPS / PMN / REDE;N;48;MASCULINO;BRANCA;ENSINO MÉDIO COMPLETO;OUTROS;SOLTEIRO(A);NA
PATRI;MDB / PR / PATRI;N;60;MASCULINO;PARDA;SUPERIOR COMPLETO;CONTADOR;CASADO(A);636210.12
PP;PP / PTC / PHS / PPL;N;55;MASCULINO;BRANCA;SUPERIOR COMPLETO;ENGENHEIRO;CASADO(A);2068753.7
PSDB;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;57;FEMININO;BRANCA;SUPERIOR COMPLETO;ADVOGADO;CASADO(A);480537.29
DC;PSL / DC / PRTB;N;58;MASCULINO;BRANCA;SUPERIOR COMPLETO;ADVOGADO;DIVORCIADO(A);357025.36
PROS;AVANTE / PROS / PPS / PMN / REDE;N;54;MASCULINO;BRANCA;SUPERIOR COMPLETO;SERVIDOR PÚBLICO MUNICIPAL;CASADO(A);NA
PSL;PSL / DC / PRTB;N;60;MASCULINO;BRANCA;SUPERIOR COMPLETO;MILITAR REFORMADO;CASADO(A);1,96E+06
PATRI;MDB / PR / PATRI;N;56;MASCULINO;BRANCA;ENSINO FUNDAMENTAL COMPLETO;OUTROS;CASADO(A);NA
PC do B;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;43;MASCULINO;BRANCA;SUPERIOR INCOMPLETO;MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;CASADO(A);108125
PSDB;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;56;FEMININO;BRANCA;ENSINO FUNDAMENTAL COMPLETO;OUTROS;SOLTEIRO(A);NA
PV;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;65;MASCULINO;BRANCA;SUPERIOR COMPLETO;ADVOGADO;CASADO(A);559180.57
PSOL;PSOL;N;52;FEMININO;PARDA;ENSINO MÉDIO COMPLETO;GARI OU LIXEIRO;SOLTEIRO(A);4,50E+04
PTC;PP / PTC / PHS / PPL;N;49;FEMININO;BRANCA;SUPERIOR COMPLETO;PROFESSOR DE ENSINO FUNDAMENTAL;SOLTEIRO(A);NA
PV;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;49;MASCULINO;PARDA;SUPERIOR COMPLETO;ADVOGADO;CASADO(A);308471.67
PSD;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;52;FEMININO;BRANCA;SUPERIOR COMPLETO;ADVOGADO;CASADO(A);551018.84
MDB;MDB / PR / PATRI;N;58;MASCULINO;BRANCA;SUPERIOR INCOMPLETO;SERVIDOR PÚBLICO ESTADUAL;DIVORCIADO(A);NA
PP;PP / PTC / PHS / PPL;N;68;FEMININO;PARDA;SUPERIOR COMPLETO;VEREADOR;DIVORCIADO(A);6,00E+03
PSL;PSL / DC / PRTB;N;43;MASCULINO;PARDA;ENSINO MÉDIO COMPLETO;EMPRESÁRIO;CASADO(A);NA
PRP;PRP;N;28;FEMININO;PARDA;SUPERIOR INCOMPLETO;OUTROS;SOLTEIRO(A);NA
PP;PP / PTC / PHS / PPL;N;42;MASCULINO;PARDA;SUPERIOR COMPLETO;ADVOGADO;CASADO(A);NA
PPL;PP / PTC / PHS / PPL;N;52;MASCULINO;PRETA;SUPERIOR COMPLETO;ADVOGADO;CASADO(A);NA
PROS;AVANTE / PROS / PPS / PMN / REDE;S;28;MASCULINO;BRANCA;SUPERIOR INCOMPLETO;DEPUTADO;SOLTEIRO(A);1,81E+05
MDB;MDB / PR / PATRI;N;51;FEMININO;BRANCA;SUPERIOR COMPLETO;SERVIDOR PÚBLICO MUNICIPAL;DIVORCIADO(A);NA
PSL;PSL / DC / PRTB;N;57;FEMININO;BRANCA;SUPERIOR COMPLETO;APOSENTADO (EXCETO SERVIDOR PÚBLICO);CASADO(A);5,10E+05
PSOL;PSOL;N;54;MASCULINO;PARDA;SUPERIOR INCOMPLETO;SERVIDOR PÚBLICO FEDERAL;CASADO(A);1,80E+05
PT;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;51;MASCULINO;BRANCA;SUPERIOR COMPLETO;VEREADOR;CASADO(A);464958.57
PSOL;PSOL;N;29;FEMININO;BRANCA;SUPERIOR COMPLETO;ADMINISTRADOR;CASADO(A);27269.86
PSOL;PSOL;N;44;MASCULINO;BRANCA;SUPERIOR COMPLETO;PROFESSOR DE ENSINO FUNDAMENTAL;SOLTEIRO(A);3,50E+05
PSDB;PV / PSDB / PSD / PSC / SOLIDARIEDADE;S;30;MASCULINO;BRANCA;SUPERIOR COMPLETO;ADVOGADO;SOLTEIRO(A);528899.87
PSL;PSL / DC / PRTB;N;51;MASCULINO;PARDA;ENSINO FUNDAMENTAL COMPLETO;VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS;DIVORCIADO(A);3,60E+04
PV;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;44;MASCULINO;PARDA;ENSINO MÉDIO COMPLETO;OUTROS;CASADO(A);12500
PATRI;MDB / PR / PATRI;N;40;MASCULINO;BRANCA;SUPERIOR COMPLETO;SERVIDOR PÚBLICO ESTADUAL;CASADO(A);185558.4
PP;PP / PTC / PHS / PPL;N;49;MASCULINO;PARDA;SUPERIOR COMPLETO;POLICIAL MILITAR;CASADO(A);NA
PSB;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;43;MASCULINO;PARDA;SUPERIOR COMPLETO;DEPUTADO;CASADO(A);2893556.7
AVANTE;AVANTE / PROS / PPS / PMN / REDE;N;33;MASCULINO;BRANCA;SUPERIOR COMPLETO;OUTROS;CASADO(A);585250
PPS;AVANTE / PROS / PPS / PMN / REDE;N;53;MASCULINO;BRANCA;SUPERIOR COMPLETO;JORNALISTA E REDATOR;CASADO(A);506111.59
PRTB;PSL / DC / PRTB;N;54;FEMININO;PARDA;ENSINO FUNDAMENTAL INCOMPLETO;EMPREGADO DOMÉSTICO;SOLTEIRO(A);NA
PRP;PRP;N;25;FEMININO;PARDA;ENSINO MÉDIO COMPLETO;SECRETÁRIO E DATILÓGRAFO;SOLTEIRO(A);NA

